title,director,cast,genre,notes
The Old Way,Saban Films,Nicolas Cage,[4],
House Party,Warner Bros. Pictures,"Calmatic, Stephen Glover, Tosin Cole, Jacob Latimore, Scott Mescudi",[7],
Sick,Peacock,"John Hyams, Kevin Williamson, Gideon Adlon, Marc Menchaca, Jane Adams",[8],
The Drop,Hulu,"Sarah Adina Smith, Joshua Leonard, Anna Konkle, Jermaine Fowler, Jillian Bell, Utkarsh Ambudkar",[9],
Dog Gone,Netflix,"Stephen Herek, Nick Santora, Rob Lowe, Kimberly Williams-Paisley",[10],
The Son,Sony Pictures Classics,"Florian Zeller, Christopher Hampton, Hugh Jackman, Laura Dern, Vanessa Kirby, Hugh Quarshie, Anthony Hopkins",[13],
When You Finish Saving the World,A24,"Jesse Eisenberg, Julianne Moore, Finn Wolfhard, Alisha Boe, Jay O. Sanders, Billy Bryk, Eleonore Hendricks",[14],
Detective Knight: Independence,Lionsgate,"Edward John Drake, Corey Large, Bruce Willis",[15],
Kids vs. Aliens,RLJE Films,Jason Eisener,[16],
Shotgun Wedding,Amazon Studios,"Jason Moore, Jennifer Lopez, Josh Duhamel, Sônia Braga, Jennifer Coolidge, Lenny Kravitz, Cheech Marin",[19],
Maybe I Do,Vertical Entertainment,"Michael Jacobs, Diane Keaton, Richard Gere, Susan Sarandon, Emma Roberts, Luke Bracey, William H. Macy",[20],
Life Upside Down,IFC Films,"Danny Huston, Radha Mitchell, Bob Odenkirk",[21],
80 for Brady,Paramount Pictures,"Emily Halpern, Sarah Haskins, Lily Tomlin, Jane Fonda, Rita Moreno, Sally Field, Tom Brady",[24],
The Locksmith,Screen Media Films,"Joe Russo, Chris LaMont, Ryan Phillippe, Kate Bosworth, Ving Rhames",[25],
Baby Ruby,Magnet Releasing,"Bess Wohl, Noémie Merlant, Kit Harington, Meredith Hagner",[26],
Freedom's Path,Xenon Pictures,"Gerran Howell, RJ Cyler, Ewen Bremner, Harrison Gilbertson",[27],
Sharper,Apple TV+,"Benjamin Caron, Julianne Moore, Sebastian Stan, Justice Smith, Briana Middleton, John Lithgow",[30],
Your Place or Mine,Netflix,"Aline Brosh McKenna, Reese Witherspoon, Ashton Kutcher, Jesse Williams, Tig Notaro, Zoë Chao, Steve Zahn",[31],
